    Energy    <xanes>    
   33.9072  4.2261384E-01
   34.0072  4.2255713E-01
   34.1072  4.2248983E-01
   34.2072  4.2241057E-01
   34.3072  4.2231801E-01
   34.4072  4.2221083E-01
   34.5072  4.2208774E-01
   34.6072  4.2194747E-01
   34.7072  4.2178876E-01
   34.8072  4.2161041E-01
   34.9072  4.2141122E-01
   35.0072  4.2119004E-01
   35.1072  4.2094575E-01
   35.2072  4.2067725E-01
   35.3072  4.2038350E-01
   35.4072  4.2006349E-01
   35.5072  4.1971626E-01
   35.6072  4.1934089E-01
   35.7072  4.1893651E-01
   35.8072  4.1850230E-01
   35.9072  4.1803751E-01
   36.0072  4.1754143E-01
   36.1072  4.1701341E-01
   36.2072  4.1645287E-01
   36.3072  4.1585930E-01
   36.4072  4.1523225E-01
   36.5072  4.1457133E-01
   36.6072  4.1387623E-01
   36.7072  4.1314672E-01
   36.8072  4.1238262E-01
   36.9072  4.1158385E-01
   37.0072  4.1075039E-01
   37.1072  4.0988229E-01
   37.2072  4.0897968E-01
   37.3072  4.0804277E-01
   37.4072  4.0707183E-01
   37.5072  4.0606722E-01
   37.6072  4.0502935E-01
   37.7072  4.0395871E-01
   37.8072  4.0285586E-01
   37.9072  4.0172142E-01
   38.0072  4.0055606E-01
   38.1072  3.9936053E-01
   38.2072  3.9813562E-01
   38.3072  3.9688218E-01
   38.4072  3.9560110E-01
   38.5072  3.9429333E-01
   38.6072  3.9295985E-01
   38.7072  3.9160168E-01
   38.8072  3.9021988E-01
   38.9072  3.8881554E-01
   39.0072  3.8738976E-01
   39.1072  3.8594370E-01
   39.2072  3.8447849E-01
   39.3072  3.8299532E-01
   39.4072  3.8149537E-01
   39.5072  3.7997983E-01
   39.6072  3.7844990E-01
   39.7072  3.7690678E-01
   39.8072  3.7535168E-01
   39.9072  3.7378578E-01
   40.0072  3.7221027E-01
   40.1072  3.7062635E-01
   40.2072  3.6903518E-01
   40.3072  3.6743792E-01
   40.4072  3.6583572E-01
   40.5072  3.6422970E-01
   40.6072  3.6262098E-01
   40.7072  3.6101064E-01
   40.8072  3.5939976E-01
   40.9072  3.5778939E-01
